"id","nome","ingredientes","categoria","tempo","imagem_url"
5,"Canelone ao forno","massa de canelone com queijo parmesao","Massas","50 minutos","https://images.unsplash.com/photo-1601050690597-9d47c789c4ec"
6,"Torta de Maçã","maca, acucar, farinha, ovos, manteiga","Doces","40 minutos","https://images.unsplash.com/photo-1608198093002-ad4e005484d2"
7,"Torta de Maçã","maca, acucar, farinha, ovos, manteiga","Doces","40 minutos","https://images.unsplash.com/photo-1608198093002-ad4e005484d2"
11,"Bolo Teste","farinha, acucar, ovos","Doces","45 minutos","https://images.unsplash.com/photo-1578985545062-69928b1d9587"
12,"Bolo de Cenoura","3 cenouras medias, 4 ovos, 1 xicara de oleo, 2 xicaras de acucar, 2 e 1/2 xicaras de farinha de trigo, 1 colher de sopa de fermento em po","Doces","45 minutos","https://images.unsplash.com/photo-1578985545062-69928b1d9587"
4,"Biscoito de Aveia","aveia, acucar, manteiga, ovos","Biscoitos","35 minutos","https://images.unsplash.com/photo-1608759470058-d74bb1f7c74e"
1,"Bolo de Chocolate","farinha, ovos, chocolate, acucar, manteiga","Doces","45 minutos","https://images.unsplash.com/photo-1578985545062-69928b1d9587"
9,"Bolo de Chocolate","farinha, ovos, chocolate, acucar, manteiga","Doces","45 minutos","https://images.unsplash.com/photo-1578985545062-69928b1d9587"
13,"Panqueca Simples","1 xicara de farinha de trigo, 1 xicara de leite, 1 ovo, 1 pitada de sal, 1 colher de sopa de oleo","Massas","30 minutos","https://images.unsplash.com/photo-1608759261191-14cb9e1d6141"
2,"Panqueca","farinha, ovos, leite, sal, acucar","Massas","30 minutos","https://images.unsplash.com/photo-1608759261191-14cb9e1d6141"
10,"Panqueca","farinha, ovos, leite, sal, acucar","Massas","30 minutos","https://images.unsplash.com/photo-1608759261191-14cb9e1d6141"
14,"Brigadeiro","1 lata de leite condensado, 2 colheres de sopa de chocolate em po, 1 colher de sopa de manteiga, chocolate granulado para enrolar","Doces","25 minutos","https://images.unsplash.com/photo-1605475128013-3e93dfbfb39f"
3,"Salada de Frutas","maca, banana, laranja, uva, morango","Sobremesas","20 minutos","https://images.unsplash.com/photo-1607972739886-f64cc03e50ae"
8,"Pizza de Calabresa","farinha, fermento, calabresa, queijo, molho","Massas","25 minutos","https://images.unsplash.com/photo-1601924928376-3e3e923c6d5a"
