Gin com cereja	gin-cereja.jpg	Dose de gin com cerejas e hortelã	150ml de gin; 100ml de água; 3 cerejas; 2 folhas de hortelã	Misture gin e água, bata bem e coloque as cerejas e hortelã	bebidas	drinks	Brasil	facil	10 min	1	FALSE
Torta de morango	torta-morango.jpg	Torta com morangos e creme de chantili	4 ovos, 2 copos farinha, 1 copo de suco de laranja, 2 caixas morango, 2 creme de leite.	Bata as claras em neve, acrescer as gemas, junte numa forma.	sobremesas	torta	Brasil	facil	20 min	1	FALSE
Pizza margherita	pizza-margherita.jpg	Pizza clássica com molho de tomate, mussarela e manjericão	Massa de pizza; molho de tomate; queijo mussarela; manjericão fresco	Prepare a massa, adicione os ingredientes e asse	massas	pizzas	Itália	media	30 min	4	FALSE
Bolo de chocolate	bolo-chocolate.jpg	Bolo fofinho de chocolate	200g de chocolate; 3 ovos; 150g de açúcar; 100g de manteiga; 100g de farinha	Misture os ingredientes, leve ao forno a 180°C por 35 minutos	doces	bolos	Brasil	facil	40 min	8	FALSE
Salada de folhas verdes	salada-folhasverdes1.jpg	Salada simples de folhas verdes com molho de limão	Alface; rúcula; espinafre; limão; azeite; sal	Misture as folhas e tempere com limão, azeite e sal	saladas	folhas-verdes	Brasil	facil	5 min	2	FALSE
Frango grelhado	frango-grelhado.jpg	Peito de frango grelhado com tempero simples	1 peito de frango; sal; pimenta; azeite	Tempere o frango e grelhe até dourar	carnes	frango	Brasil	facil	20 min	1	FALSE
Feijoada brasileira	feijoada-brasileira.jpg	Prato com partes de porco e feijão preto	i kg carne de sol, 1/2 kg de feijão preto, 2 paios, 2 orelhas porco.	Separe carnes salgadas e coloque de molho. Cozinhe numa panela grande.	brasileira	culinaria-brasileira	Brasil	media	2 horas	8	FALSE
Ovos mexidos	ovos-mexidos.jpg	Ovos mexidos cremosos	2 ovos; sal; manteiga	Bata os ovos, cozinhe na manteiga até firmar	cafe-manha	ovos	Brasil	facil	5 min	1	FALSE
Lasanha bolonhesa	lasanha-bolonhesa.jpg	Lasanha de carne com molho bolonhesa e queijo	Massa de lasanha; carne moída; molho de tomate; queijo	Monte camadas de massa, molho e carne, leve ao forno 180°C 40 min	europeias	culinaria-europeia	Italia	media	60 min	8	FALSE
Cazuela	cazuela.jpg	Ensopado com temperos	2 coxas frango, 1 milho, 3 batatas, 1/2 abobora	Junte os ingredientes e cozinhe lentamente	latinas	culinaria-latina	Chile	facil	30 min	3	FALSE
Sanduiche natural	sanduiche-natural.jpg	Sanduíche de pão integral com frango e vegetais	peito de frango; alface; tomate	Monte o sanduíche com os ingredientes	lanches	pao-integral	Brasil	facil	10 min	1	FALSE
Sopa de legumes	sopa-legumes.jpg	Sopa nutritiva de legumes variados	Cenoura; abóbora; batata; água; sal; temperos	Cozinhe os legumes até ficarem macios	sopas	legumes	Brasil	facil	30 min	4	FALSE
Waffles com bacon	waffles-bacon.jpg	Waffles com mel	1/2 xicara de leite, 1 colher fermento, 1 xicara de farinha, manteira e fatias bacon	Adicione as fatias bacon na frigideira. Adicione leite numa vasilha. 	americanas	culinaria-americana	EUA	media	40 min	3	FALSE
Buraco quente	buraco-quente.jpg	sanduiche com carne	400 gr carne moida, cebola picada, azeitonas e maionese	Refogue a carne, acrescente sal, cebola, molho tomate, azeitonas	receitas-rapidas	sanduiche	Brasil	facil	25 min	5	FALSE
Bife a role	bife-role.jpg	prato de carne nutritivo	500 gr coxão mole, linguiça calabresa, bacon e cenouras	Corte os ingredientes e enrole no bife. Leve panela de pressão	semanal	segunda-feira	Brasil	media	30 min	1	FALSE
Galinhada saudavel	galinhada.jpg	Prato com partes de frango e legumes	1 kg coxa e sobrecoxa de frango, temperos, 1 cebola,  3 alhos, 2 cenouras, 1 lata de milho.	Tempere frango, panela de pressão fogo alto, adcione arroz. 	low-carb	baixa-caloria	Brasil	facil	30 min	4	FALSE
Bolinho empanado	bolinho-empanado.jpg	Bolinho de cenoura com aveia	1 xicara de aveia, 1 colher de iogurte, 1 ovo, 1 cenoura, 1 cebola.	Misture os ingredeintes e faça uma massa compacta e leve ao forno 20 min a 180 graus..	salgados	sem-frituras	Brasil	facil	40 min	8	FALSE
Panqueca	panqueca-semgluten.jpg	Panqueca saudavel sem gluten	3 ovos, 2 colheres de amido de milho, 2 colheres parmesão, 400 ml de leite.	Bater ingredientes no liquidificador até creme, leve frigideira até dourar. 	sem-gluten	saudavel	Brasil	facil	35 min	3	FALSE
