Receita,Ingrediente_Original,Ingrediente_Normalizado
"Bolo de Chocolate","Farinha","farinha"
"Bolo de Chocolate","Ovos","ovos"
"Bolo de Chocolate","Chocolate","chocolate"
"Bolo de Chocolate","Açúcar","acucar"
"Bolo de Chocolate","Manteiga","manteiga"
"Panqueca","Farinha","farinha"
"Panqueca","Ovos","ovos"
"Panqueca","Leite","leite"
"Panqueca","Sal","sal"
"Panqueca","Açúcar","acucar"
"Salada de Frutas","Maçã","maca"
"Salada de Frutas","Banana","banana"
"Salada de Frutas","Laranja","laranja"
"Salada de Frutas","Uva","uva"
"Salada de Frutas","Morango","morango"
"Biscoito de Aveia","Aveia","aveia"
"Biscoito de Aveia","Açúcar","acucar"
"Biscoito de Aveia","Manteiga","manteiga"
"Biscoito de Aveia","Ovos","ovos"
"Canelone ao forno","Massa de canelone com queijo parmesâo","massa de canelone com queijo parmesao"
"Torta de Maçã","Maçã","maca"
"Torta de Maçã","Açúcar","acucar"
"Torta de Maçã","Farinha","farinha"
"Torta de Maçã","Ovos","ovos"
"Torta de Maçã","Manteiga","manteiga"
"Torta de Maçã","Maçã","maca"
"Torta de Maçã","Açúcar","acucar"
"Torta de Maçã","Farinha","farinha"
"Torta de Maçã","Ovos","ovos"
"Torta de Maçã","Manteiga","manteiga"
"Pizza de Calabresa","Farinha","farinha"
"Pizza de Calabresa","Fermento","fermento"
"Pizza de Calabresa","Calabresa","calabresa"
"Pizza de Calabresa","Queijo","queijo"
"Pizza de Calabresa","Molho","molho"
"Bolo de Chocolate","Farinha","farinha"
"Bolo de Chocolate","Ovos","ovos"
"Bolo de Chocolate","Chocolate","chocolate"
"Bolo de Chocolate","Açúcar","acucar"
"Bolo de Chocolate","Manteiga","manteiga"
"Panqueca","Farinha","farinha"
"Panqueca","Ovos","ovos"
"Panqueca","Leite","leite"
"Panqueca","Sal","sal"
"Panqueca","Açúcar","acucar"
"Bolo Teste","Farinha","farinha"
"Bolo Teste","Açúcar","acucar"
"Bolo Teste","Ovos","ovos"
"Bolo de Cenoura","3 cenouras médias","3 cenouras medias"
"Bolo de Cenoura","4 ovos","4 ovos"
"Bolo de Cenoura","1 xícara de óleo","1 xicara de oleo"
"Bolo de Cenoura","2 xícaras de açúcar","2 xicaras de acucar"
"Bolo de Cenoura","2 e 1/2 xícaras de farinha de trigo","2 e 1/2 xicaras de farinha de trigo"
"Bolo de Cenoura","1 colher de sopa de fermento em pó","1 colher de sopa de fermento em po"
"Panqueca Simples","1 xícara de farinha de trigo","1 xicara de farinha de trigo"
"Panqueca Simples","1 xícara de leite","1 xicara de leite"
"Panqueca Simples","1 ovo","1 ovo"
"Panqueca Simples","1 pitada de sal","1 pitada de sal"
"Panqueca Simples","1 colher de sopa de óleo","1 colher de sopa de oleo"
"Brigadeiro","1 lata de leite condensado","1 lata de leite condensado"
"Brigadeiro","2 colheres de sopa de chocolate em pó","2 colheres de sopa de chocolate em po"
"Brigadeiro","1 colher de sopa de manteiga","1 colher de sopa de manteiga"
"Brigadeiro","Chocolate granulado para enrolar","chocolate granulado para enrolar"
