"id","nome","categoria","tempo","ingredientes"
11,"Bolo Teste","Doces","45 minutos","farinha ; acucar ; ovos"
12,"Bolo de Cenoura","Doces","45 minutos","3 cenouras medias ; 4 ovos ; 1 xicara de oleo ; 2 xicaras de acucar ; 2 e 1/2 xicaras de farinha de trigo ; 1 colher de sopa de fermento em po"
4,"Biscoito de Aveia","Biscoitos","35 minutos","aveia ; acucar ; manteiga ; ovos"
1,"Bolo de Chocolate","Doces","45 minutos","farinha ; ovos ; chocolate ; acucar ; manteiga"
13,"Panqueca Simples","Massas","30 minutos","1 xicara de farinha de trigo ; 1 xicara de leite ; 1 ovo ; 1 pitada de sal ; 1 colher de sopa de oleo"
2,"Panqueca","Massas","30 minutos","farinha ; ovos ; leite ; sal ; acucar"
14,"Brigadeiro","Doces","25 minutos","1 lata de leite condensado ; 2 colheres de sopa de chocolate em po ; 1 colher de sopa de manteiga ; chocolate granulado para enrolar"
3,"Salada de Frutas","Sobremesas","20 minutos","maca ; banana ; laranja ; uva ; morango"
5,"Canelone ao forno","Massas","50 minutos","massa de canelone com queijo parmesao"
6,"Torta de Maçã","Doces","40 minutos","maca ; acucar ; farinha ; ovos ; manteiga"
8,"Pizza de Calabresa","Massas","25 minutos","farinha ; fermento ; calabresa ; queijo ; molho"
